ドイツ語;英語;日本語;学名;画像;
Alpendohle;Alpine chough;キバシガラス;Pyrrhocorax graculus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/alpendohle/;
Alpenstrandläufer;Dunlin;ハマシギ;Calidris alpina;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/alpenstrandlaeufer/;
Amsel;Common blackbird;クロウタドリ;Turdus merula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/amsel/;
Auerhuhn;Western capercaillie;ヨーロッパオオライチョウ;Tetrao urogallus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/auerhuhn/;
Austernfischer;Eurasian oystercatcher;ミヤコドリ;Haematopus ostralegus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/austernfischer/;
Bachstelze;White wagtail;ヨーロッパハクセキレイ;Motacila alba;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/bachstelze/;
Bartmeise;Bearded reedling;ヒゲガラ;Panurus biarmicus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/bartmeise/;
Basstölpel;Northern gannet;シロカツオドリ;Morus bassanus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/basstoelpel/;
Baumfalke;Eurasian hobby;チゴハヤブサ;Falco subbuteo;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/baumfalke/;
Baumpieper;Tree pipit;ヨーロッパビンズイ;Anthus trivialis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/baumpieper/;
Bekassine;Common snipe;タシギ;Gallinago gallinago;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/bekassine/;
Bergente;Greater scaup;スズガモ;Aythya marila;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/bergente/;
Bergfink;Brambling;アトリ;Fringilla coelebs;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/bergfink/;
Beutelmeise;Eurasian penduline tit;ツリスガラ;Remiz pendulinus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/beutelmeise/;
Birkhuhn;Black grouse;クロライチョウ ;Tetrao tetrix;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/birkhuhn/;
Blässhuhn;Eurasian coot;オオバン;Fulica atra;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/04508.html;
Blaukehlchen;Bluethroat;オガワコマドリ;Luscinia svecica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/blaukehlchen/;
Blaumeise;Eurasian blue tit;アオガラ;Cyanistes caeruleus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/blaumeise/;
Blessgans;Greater white-fronted goose;マガン;Anser albifrons;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/04839.html;
Bluthänfling;Common linnet;ムネアカヒワ;Carduelis cannabina;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/buchfink/;
Brandgans;Common shelduck;ツクシガモ;Tadorna tadorna;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/brandgans/;
Brandseeschwalbe;Sandwich tern;サンドイッチアジサシ;Thalasseus sandvicensis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/brandseeschwalbe/;
Braunkehlchen;Whincha;マミジロノビタキ;Saxicola rubetra;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/braunkehlchen/;
Buchfink;Common chaffinch;ズアオアトリ;Fringilla coelebs;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/buchfink/;
Buntspecht;Great spotted woodpecker;アカゲラ;Dendrocopos major;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/buntspecht/;
Dohle;Western jackdaw;ニシコクマルガラス;Corvus monedula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/dohle/;
Dorngrasmücke;Common whitethroat;ノドジロムシクイ;Sylvia communis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/dorngrasmuecke/;
Dreizehenmöwe;Black-legged kittiwake;ミツユビカモメ;Rissa tridactyla;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/dreizehenmoewe/;
Eichelhäher;Eurasian jay;カケス;Garrulus glandarius;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/eichelhaeher/;
Eiderente;Common eider;ホンケワタガモ;Somateria mollissima;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/eiderente/;
Eisente;Long-tailed duck;コオリガモ;Clangula hyemalis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/eisente/;
Eissturmvogel;Northern fulmar;フルマカモメ;Fulmarus glacialis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/eissturmvogel/;
Eisvogel;Common kingfisher;カワセミ;Alcedo atthis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/eisvogel/;
Elster;Eurasian magpie;カササギ;Pica pica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/elster/;
Erlenzeisig;Eurasian siskin;マヒワ;Carduelis spinus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/erlenzeisig/;
Fasan;Common pheasant;コウライキジ;Phasianus colchicus;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/weitere-vogelarten/05322.html;
Feldlerche;Eurasian skylark;ヒバリ;Alauda arvensis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/feldlerche/;
Feldsperling;Euraisan tree sparrow;スズメ;Passer montanus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/feldsperling/;
Fichtenkreuzschnabel;Red crossbill;イスカ;Loxia curvirostra;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/fichtenkreuzschnabel/;
Fischadler;Osprey;ミサゴ;Pandion haliaetus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/fischadler/;
Fitis;Willow warbler;キタヤナギムシクイ;Phylloscopus trochilus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/fitis/;
Flussregenpfeifer;Little ringed plover;コチドリ;Charadrius dubius;https://www.nabu.de/tiere-und-pflanzen/aktionen-und-projekte/vogel-des-jahres/1993-flussregenpfeifer/index.html;
Flussseeschwalbe;Common tern;アジサシ;Sterna hirundo;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/flussseeschwalbe/;
Gänsesäger;Goosander;カワアイサ;Mergus merganse;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sandregenpfeifer/;
Gartenbaumläufer;Short-toed tree creeper;タンシキバシリ;Certhia brachydactyla;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gartenbaumlaeufer/;
Gartengrasmücke;Garden warbler;ニワムシクイ;Sylvia borin;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gartengrasmuecke/;
Gartenrotschwanz;Common redstart;シロビタイジョウビタキ;Phoenicurus phoenicurus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gartenrotschwanz/;
Gebirgsstelze;Grey wagtail;キセキレイ;Motacilla cinerea;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gebirgsstelze/;
Gelbspötter;Icterine warbler;キイロウタムシクイ;Hippolais icterina;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gelbspoetter/;
Gimpel;Eurasian bullfinch;ウソ;Pyrrhula pyrrhula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gimpel/;
Girlitz;European serin;セリン;Serinus serinus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/girlitz/;
Goldammer;Yellowhammer;キアオジ;Emberiza citrinella;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/goldammer/;
Goldregenpfeifer;European golden plover;ヨーロッパムナグロ;Pluvialis apricaria;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/goldregenpfeifer/;
Grauammer;Corn bunting;ハタホオジロ;Miliaria calandra;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/grauammer/;
Graugans;Greylag goose;ハイイロガン;Anser anser;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/graugans/;
Graureiher;Grey heron;アオサギ;Ardea cinerea;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/06747.html;
Grauschnäpper;Spotted flycatcher;ムナフヒタキ;Muscicapa striata;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/grauschnaepper/;
Grauspecht;Grey-headed woodpecker;ヤマゲラ;Picus canus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/grauspecht/;
Großer Brachvogel;Eurasian curlew;ダイシャクシギ;Numenius arquata;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/grosser-brachvogel/;
Großtrappe;Bustard;ノガン;Otididae;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/grosstrappe/;
Grünfink;European greenfinch;アオカワラヒワ;Carduelis chloris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gruenfink/;
Grünschenkel;Common greenshank;アオアシシギ;Tringa nebularia;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gruenschenkel/;
Grünspecht;Eurasian green woodpecker;ヨーロッパアオゲラ;Picus viridis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/gruenspecht/;
Habicht;Northern goshawk;オオタカ;Accipiter gentilis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/habicht/;
Halsbandschnäpper;Collared fly catcher;シロエリヒタキ;Ficedula albicollis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/halsbandschnaepper/;
Halsbandsittich;Rose-ringed parakeet;ワカケホンセイインコ;Psittacula krameri;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/halsbandsittich/;
Haubenmeise;European crested tit;カンムリガラ;Lophophanes cristatus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/haubenmeise/;
Haubentaucher;Great crested grebe;カンムリカイツブリ;Podiceps cristatus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/haubentaucher/;
Hausrotschwanz;Black redstart;クロジョウビタキ;Phoenicurus ochruros;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/hausrotschwanz/;
Haussperling;House sparrow;イエスズメ;Passer domesticus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/haussperling/;
Heckenbraunelle;Dunnock;ヨーロッパカヤクグリ;Prunella modularis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/heckenbraunelle/;
Heringmöwe;lesser black-backed gull;ニシセグロカモメ;Larus fuscus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/heringsmoewe/;
Höckerschwan;Mute swan;コブハクチョウ;Cygnus olor;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/hoeckerschwan/;
Kanadagans;Canada goose;カナダガン;Branta canadensis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kanadagans/;
Kernbeißer;Hawfinch;シメ;Cocothraustes cocothrautes;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kernbeisser/;
Kiebitz;Northern lapwing;タゲリ;Vanellus vanellus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kiebitz/;
Kleiber;Eurasian nuthatch;ゴジュウカラ;Sitta europaea;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kleiber/;
Kleinspecht;Lesser spotted woodpecke;コアカゲラ;Dendrocopos minor;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kleinspecht/;
Krickente;Eurasian teal;コガモ;Anas crecca;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/krickente/;
Knutt;Red knot;コオバシギ;Calidris canutus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/knutt/;
Kohlmeise;Great tit;シジュウカラ;Parus major;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kohlmeise/;
Kolkrabe;Common raven;ワタリガラス;Corvus corax;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/kolkrabe/;
